Modelling Algo,RMSE
RandomForestRegressor,43.417577121443394
AdaBoostRegressor,95.62855821196175
BaggingRegressor,45.549954469645016
KNeighborsRegressor,57.734783802191274
DecisionTreeRegressor,63.25783619308288
SVR,130.5900723329697
XGBRegressor,42.97256917345406
